"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.854411547470825,0.964497041420118,0.945337620578778,0.378378378378378
"223811",0.954171440474951,0.984939759036145,1,0.010989010989011
"1948107",0.778281170141807,0.947214076246334,1,0.0671591672263264
"1962655",0.913029881862404,0.978915662650602,0.354838709677419,0.130014499758337
"586116",0.732264458268736,0.925501432664756,0.900763358778626,0.200594353640416
"964155",0.863482056256062,0.961764705882353,0.975308641975309,0
"1942922",0.508882041254572,0.963855421686747,NA,0.5
"929647",0.836766864162635,0.94578313253012,1,0
"1338378",0.883513185164011,0.943952802359882,0.908783783783784,0.0382352941176471
"633346",0.775175715908045,0.990963855421687,1,0
"1650389",0.752017102268809,0.944117647058824,0.735294117647059,0.153767820773931
"1641245",0.8551032021106,0.9533527696793,NA,0.0931417979610751
"1663289",0,NA,NA,0.226598702502317
"618849",0.835839321020398,0.949253731343284,0.73125,0.12326656394453
"1054084",0.842234160896148,0.941176470588235,0.814432989690722,0.0875547217010632
"811237",0.936301429190126,1,NA,0.0931417979610751
"955492",0.752644911339592,0.975903614457831,0.950276243093923,0.0476190476190476
"948898",0.849543969507215,0.970326409495549,1,0.156354916067146
"8383",0.847499164531581,0.946745562130177,0.0909090909090909,0.103835360149673
"737498",0.306522363758261,0.119598765432099,NA,0.126969416126043
"1041019",0.944580651309463,0.993975903614458,NA,0.126042632066728
"1985204",0.8692288312596,0.897959183673469,NA,0.0940685820203892
"948601",0.853175584101196,0.944117647058824,NA,0.162187210379981
"1331037",0.833264423560438,0.976047904191617,1,0
"1669601",0.641777484100107,0.996987951807229,NA,0.416126042632067
"893041",0.88500404368817,0.984939759036145,0.985074626865672,0.0631313131313131
"847832",0.900150728521186,1,1,0
"1102195",0.828070030213981,0.990963855421687,1,0
"592977",0.869173594297614,0.947521865889213,NA,0.151065801668211
"1471895",0.88593259781984,0.981981981981982,0.948387096774194,0.107665805340224
"1958442",0.955700444823594,0.987951807228916,NA,0.14967562557924
"948001",0.845378078764612,0.93859649122807,NA,0.0931417979610751
"964235",0.69381303627879,0.920454545454545,1,0
"1650226",0.853974491325052,0.973214285714286,0.830985915492958,0.0136441159749858
"8201",0.816618133806001,0.967359050445104,0.974683544303797,0.0213284582571603
"1546130",0.846824958586416,0.978915662650602,0.770114942528736,0.579777907656341
"1221713",0.857301573941587,0.967455621301775,NA,0.154309545875811
