"","utilization","survival","correct_scheduled_rate","correct_unscheduled_rate"
"1633748",0.449961953611589,0.974452554744526,NA,0.299888517279822
"223811",0.658960301208798,0.981884057971015,NA,0.794314381270903
"1948107",0.268854740764853,0.97609561752988,NA,0.381270903010033
"1962655",0.537656270277285,0.963768115942029,NA,0.948717948717949
"586116",0.155345984725758,0.955801104972376,NA,0.549609810479376
"964155",0.224176457867801,0.959090909090909,NA,0.523411371237458
"1942922",0.241156265334344,0.985507246376812,NA,0.987179487179487
"929647",0,NA,NA,0.950947603121516
"1338378",0.415891921566755,0.985507246376812,NA,0.813266443701226
"633346",0,NA,NA,0.953177257525084
"1650389",0.160061540997569,0.953488372093023,NA,0.729096989966555
"1641245",0.456759139930815,0.989090909090909,NA,0.999442586399108
"1663289",0,NA,NA,0.779821627647715
"618849",0.283185009509944,0.972111553784861,NA,0.147157190635452
"1054084",0.37877087596541,0.981617647058823,NA,0.752508361204013
"811237",0.644914856386838,0.97463768115942,NA,0.931995540691193
"955492",0.421199685671876,0.989130434782609,NA,0.676142697881828
"948898",0.236875486814287,0.97752808988764,NA,0.960423634336678
"8383",0.275171644062637,0.954372623574145,NA,0.912486064659978
"737498",0.232284391430589,0.955284552845528,NA,1
"1041019",0.58512502671511,0.971014492753623,NA,0.898550724637681
"1985204",0.241937697269109,0.933884297520661,NA,0.828874024526198
"948601",0.2133309390467,0.968503937007874,NA,0.955964325529543
"1331037",0.150903498654364,0.945454545454545,NA,0.485507246376812
"1669601",0.148086892910531,0.988847583643123,NA,0.973801560758083
"893041",0.178150344169563,0.945652173913043,NA,0.999442586399108
"847832",0,NA,NA,0.915830546265329
"1102195",0,NA,NA,0.910813823857302
"592977",0.391099765270912,0.988805970149254,NA,0.948160535117057
"1471895",0.502814978079107,0.985507246376812,NA,0.605908584169454
"1958442",0.566514725374196,0.960144927536232,NA,0.959308807134894
"948001",0.297257286216366,0.988929889298893,NA,1
"964235",0.478299379982285,0.964285714285714,1,0.766512166859791
"1650226",0.21320573697825,0.970149253731343,NA,0.965440356744705
"8201",0.0707531610775151,0.962732919254658,NA,0.717391304347826
"1546130",0.419060860497703,0.989090909090909,NA,0.987179487179487
"1221713",0.312540896559862,0.981884057971015,NA,1
"943424",0.155831473214286,0.95360824742268,NA,0.690635451505017
"706726",0.187867453553871,0.95852534562212,NA,0.668338907469342
"809906",0.466897073118047,0.985221674876847,1,0.277777777777778
"611375",0.410837503582373,0.956204379562044,NA,0.567447045707915
"1547003",0.293511192000799,0.974545454545454,NA,0.913600891861761
"1946494",0.626042389621483,0.967391304347826,NA,0.914158305462653
"1545927",0.150315974451691,0.9812734082397,NA,0.948717948717949
"618853",0.362976241802628,0.967032967032967,NA,0.994425863991081
"2008368",0,NA,NA,0.950947603121516
"943904",0.168276023118688,0.93010752688172,NA,0.51505016722408
"1633630",0.475331286071049,0.960144927536232,NA,0.659977703455964
"1114910",0.159021269933573,0.967272727272727,NA,0.954292084726867
"1023683",0.144068994768839,0.949275362318841,NA,0.83835005574136
"793205",0.218872704243192,0.961702127659574,NA,0.62263099219621
"1221771",0.320856329001246,0.977477477477477,NA,0.176142697881828
"1054467",0.450611732719858,0.996268656716418,NA,0.226309921962096
"715945",0.622849046604441,0.97463768115942,NA,0.963768115942029
"1054036",0.22932326772715,0.959259259259259,NA,0.614269788182832
"612046",0.198743575099943,0.989130434782609,NA,0.686176142697882
"1102397",0.488542418021417,0.967272727272727,NA,0.698439241917503
"358485",0.27806147027652,0.960629921259842,NA,0.822742474916388
"810877",0.571892875715029,0.974452554744526,NA,0.42530657748049
"1126",0.335028404390271,0.967032967032967,NA,0.822742474916388
"715737",0.420736417474895,0.96,NA,0.914715719063545
"1099406",0,NA,NA,0.776477146042363
"1220694",0.356729440221147,0.963636363636364,NA,1
"943893",0.287711610782974,0.970479704797048,NA,0.925863991081382
"809838",0.306783886629051,0.966292134831461,NA,0.953734671125975
"1054436",0.340609883388141,0.977272727272727,NA,0.928651059085842
"817395",0,NA,NA,0.998885172798216
"586036",0.343763310507519,0.971014492753623,NA,0.988294314381271
"706714",0.185704586425678,0.965665236051502,NA,0.62263099219621
"1220878",0.258411114747808,0.941176470588235,NA,0.944258639910814
"955414",0.217096986760918,0.958620689655172,NA,0.963768115942029
"1555181",0.344862281474028,0.939393939393939,0,0.745677635248187
"1739024",0,NA,0,0.967094255437814
"1652570",0.615942651098901,0.971014492753623,NA,0.968227424749164
"1220941",0.236480541455161,0.957854406130268,NA,0.555183946488294
"1947988",0.435728593720603,0.981818181818182,NA,0.933110367892977
"807274",0.338635197537199,0.948717948717949,NA,0.804347826086957
"1475279",0,NA,NA,0.876811594202899
"594559",0.220938517915309,0.945205479452055,NA,0.461538461538462
"965207",0.580022497187851,0.978260869565217,NA,1
"942980",0.373670546855372,0.985507246376812,NA,0.666666666666667
"715586",0.525682277357906,0.973782771535581,NA,0.100334448160535
"799526",0.050391861849049,0.977777777777778,1,0.619653179190751
"1641403",0.352793797329782,0.974074074074074,NA,0.968227424749164
"1615370",0.614296969826026,0.967153284671533,NA,0.885172798216276
"1771782",0.319663708547408,0.981884057971015,NA,0.987179487179487
"1948338",0.258002670409805,0.976653696498054,NA,0.445373467112598
"1035359",0,NA,NA,1
"780697",0.626987077165285,0.971014492753623,NA,1
"1061254",0.838600170816351,0.985507246376812,NA,1
"1938269",0,NA,NA,0.974916387959866
"827636",0.00991672493802047,1,NA,0.414715719063545
"1629198",0.0353384906386979,0.969512195121951,NA,0.831661092530658
"605145",0,NA,NA,0.903567447045708
"1053575",0.237638748738648,0.958801498127341,NA,0.87736900780379
"1947803",0.235084960169578,0.947565543071161,NA,0.628205128205128
"706990",0.220787912474336,0.973076923076923,NA,0.9520624303233
"1061169",0.822563670806146,0.963768115942029,NA,1
"282785",0.0308788598574822,1,NA,0.987179487179487
"825849",0.685459036919224,0.996376811594203,NA,0.494425863991081
